S,t
1.8000000000000003,11452.0
1.5,13457.0
1.8000000000000003,10807.0
1.5,10116.0
1.8000000000000003,11264.0
1.45,10090.0
1.7500000000000002,10554.0
1.6,12344.0
1.7000000000000002,11976.0
1.8000000000000003,11249.0
1.7000000000000002,10304.0
1.6500000000000001,11114.0
1.6500000000000001,10058.0
1.6500000000000001,11982.0
1.45,11537.0
1.55,11534.0
1.55,12603.0
1.55,13182.0
1.8500000000000003,10383.0
2.0000000000000004,10613.0
1.8000000000000003,10157.0
1.8500000000000003,10067.0
1.8000000000000003,11084.0
1.45,17096.0
1.9500000000000004,10270.0
1.5,11569.0
1.45,15622.0
1.55,12908.0
1.6500000000000001,10344.0
1.4,16220.0
1.45,17974.0
1.5,11307.0
1.7000000000000002,10799.0
2.0000000000000004,10454.0
1.9500000000000004,10032.0
1.4,14976.0
1.55,12292.0
1.45,10688.0
1.7000000000000002,10016.0
1.8500000000000003,11999.0
1.7000000000000002,11035.0
1.6500000000000001,10153.0
1.7000000000000002,13349.0
1.6500000000000001,10086.0
1.8000000000000003,10556.0
2.0000000000000004,10879.0
1.45,10765.0
1.55,10571.0
1.6,10459.0
1.9000000000000004,10367.0
1.5,10244.0
1.9000000000000004,10053.0
1.9000000000000004,10043.0
1.6,14996.0
1.4,21781.0
1.8500000000000003,10057.0
1.4,10841.0
1.55,10082.0
1.8000000000000003,11638.0
1.55,10037.0
1.6500000000000001,11872.0
1.4,11310.0
1.6500000000000001,11406.0
1.6500000000000001,10846.0
2.0000000000000004,10182.0
1.5,10165.0
1.9000000000000004,10004.0
1.4,19835.0
1.6500000000000001,10366.0
1.45,12694.0
1.4,22080.0
1.4,16228.0
1.7500000000000002,10248.0
1.8500000000000003,10419.0
1.5,12033.0
1.45,14155.0
1.9500000000000004,11089.0
1.7500000000000002,10248.0
1.7000000000000002,11800.0
1.8500000000000003,10284.0
1.9000000000000004,13059.0
1.7000000000000002,10725.0
1.7500000000000002,10303.0
1.6500000000000001,10173.0
1.6,10667.0
1.8500000000000003,10703.0
1.8000000000000003,11279.0
1.7000000000000002,11484.0
1.8500000000000003,10125.0
1.9000000000000004,10136.0
1.6500000000000001,11648.0
1.9500000000000004,11366.0
1.9000000000000004,10243.0
1.9000000000000004,10005.0
1.45,21037.0
1.7000000000000002,12440.0
1.8000000000000003,11667.0
1.8000000000000003,10406.0
1.7000000000000002,10545.0
1.55,11113.0
2.0000000000000004,11315.0
1.9500000000000004,13301.0
2.0000000000000004,12697.0
1.5,10385.0
1.8500000000000003,10789.0
1.45,13746.0
1.6500000000000001,11414.0
1.9000000000000004,10312.0
1.4,17113.0
1.5,11476.0
1.8500000000000003,10613.0
1.45,12025.0
1.7000000000000002,10154.0
1.9000000000000004,10002.0
2.0000000000000004,10349.0
1.6500000000000001,11098.0
1.6,10405.0
1.9000000000000004,11524.0
1.9500000000000004,10208.0
1.7000000000000002,10429.0
1.5,11942.0
1.6500000000000001,10119.0
1.6,12932.0
1.9000000000000004,10530.0
1.8500000000000003,10672.0
1.4,17356.0
1.9000000000000004,12872.0
1.8500000000000003,10132.0
1.8500000000000003,12101.0
1.7000000000000002,10737.0
1.8000000000000003,13549.0
1.5,11619.0
1.45,14071.0
1.5,11957.0
1.8500000000000003,10018.0
1.9500000000000004,11791.0
1.8000000000000003,11501.0
1.7500000000000002,10308.0
1.6500000000000001,10761.0
1.9000000000000004,10198.0
1.8500000000000003,10354.0
1.7500000000000002,14461.0
1.55,14152.0
1.7000000000000002,10949.0
1.9500000000000004,10794.0
1.8000000000000003,10079.0
1.9500000000000004,10378.0
1.7500000000000002,10057.0
1.6,10550.0
2.0000000000000004,13693.0
1.7000000000000002,10928.0
1.45,12268.0
1.55,11287.0
1.8500000000000003,11169.0
1.8000000000000003,10385.0
1.7500000000000002,10682.0
1.9500000000000004,10127.0
1.5,10532.0
1.45,16340.0
1.7500000000000002,10449.0
1.55,10257.0
1.6,10701.0
1.55,11734.0
1.8000000000000003,11424.0
1.9500000000000004,10601.0
1.7000000000000002,12130.0
2.0000000000000004,10208.0
1.45,20255.0
1.7000000000000002,13213.0
1.6,11832.0
1.8500000000000003,10108.0
1.9000000000000004,10074.0
1.4,11454.0
1.45,20071.0
1.55,10697.0
1.9500000000000004,10474.0
1.9500000000000004,10036.0
1.45,12405.0
1.6500000000000001,11969.0
1.45,13560.0
1.9000000000000004,12343.0
1.45,16218.0
1.45,14361.0
1.6500000000000001,11121.0
1.8000000000000003,10368.0
1.8000000000000003,12047.0
1.8000000000000003,13252.0
1.55,10372.0
1.8000000000000003,13389.0
1.6,10442.0
1.5,13552.0
1.8000000000000003,10061.0
1.6500000000000001,11938.0
1.6500000000000001,10032.0
1.9000000000000004,11190.0
1.4,11395.0
1.55,10036.0
1.7500000000000002,10226.0
1.6500000000000001,11676.0
1.7000000000000002,10925.0
1.8500000000000003,10285.0
1.9000000000000004,10331.0
1.55,13086.0
1.4,11588.0
1.7500000000000002,10928.0
2.0000000000000004,10210.0
1.55,10658.0
1.7500000000000002,10264.0
1.6500000000000001,12263.0
1.9500000000000004,10075.0
1.6,10853.0
1.8000000000000003,11357.0
1.8000000000000003,11579.0
1.8500000000000003,10098.0
1.55,10327.0
1.6500000000000001,12399.0
1.55,10886.0
1.8000000000000003,14515.0
1.9000000000000004,10770.0
1.55,10879.0
1.7500000000000002,10103.0
1.6,10029.0
1.6,10591.0
1.9500000000000004,10526.0
1.7500000000000002,10390.0
1.5,11370.0
1.8500000000000003,10652.0
2.0000000000000004,10253.0
1.6,11724.0
1.7500000000000002,10468.0
1.7500000000000002,11016.0
1.45,10241.0
1.9500000000000004,10975.0
1.5,10358.0
1.7000000000000002,11637.0
1.9000000000000004,10690.0
1.7000000000000002,10009.0
1.7500000000000002,10799.0
1.7500000000000002,10652.0
1.7500000000000002,11862.0
1.8500000000000003,10193.0
2.0000000000000004,10436.0
1.55,13149.0
1.6500000000000001,10207.0
1.55,11683.0
1.7000000000000002,10592.0
1.7000000000000002,10537.0
1.6,10817.0
1.7500000000000002,10152.0
1.7000000000000002,10312.0
1.8500000000000003,10465.0
1.6,10757.0
1.6,10704.0
1.55,10235.0
1.8000000000000003,10772.0
1.8500000000000003,10132.0
1.45,11763.0
1.4,15403.0
1.7500000000000002,10239.0
1.9500000000000004,10125.0
1.6500000000000001,11335.0
1.4,16790.0
1.45,25708.0
1.9500000000000004,10765.0
1.5,10086.0
1.4,11231.0
1.9500000000000004,10496.0
1.5,19994.0
1.7000000000000002,10283.0
1.6,11481.0
1.7000000000000002,10511.0
1.6,10364.0
1.9000000000000004,10231.0
2.0000000000000004,10702.0
1.4,11388.0
1.7000000000000002,11242.0
1.4,15422.0
1.55,10061.0
1.9500000000000004,11740.0
1.9000000000000004,10396.0
1.6,11974.0
1.8000000000000003,10050.0
2.0000000000000004,10678.0
1.5,12044.0
1.6500000000000001,10060.0
1.45,10251.0
1.5,15805.0
1.6,12051.0
1.5,16498.0
1.9000000000000004,10312.0
1.7500000000000002,10058.0
1.8500000000000003,11384.0
1.6,10047.0
1.9500000000000004,12575.0
1.7500000000000002,12357.0
1.6,10221.0
1.6500000000000001,10969.0
1.6,13442.0
1.7000000000000002,10876.0
1.6500000000000001,13451.0
1.9500000000000004,10141.0
1.8000000000000003,10851.0
1.4,10061.0
1.6,10602.0
1.9000000000000004,10187.0
1.5,12700.0
1.8500000000000003,10276.0
1.6,10097.0
1.4,10874.0
1.4,10184.0
2.0000000000000004,11012.0
1.45,11335.0
1.8000000000000003,11441.0
1.5,13239.0
1.9000000000000004,11160.0
1.55,12987.0
1.8000000000000003,10207.0
2.0000000000000004,10067.0
1.6500000000000001,10945.0
1.4,21717.0
1.8000000000000003,11245.0
1.8000000000000003,11375.0
1.4,24023.0
1.8000000000000003,10232.0
1.45,21312.0
1.6500000000000001,10036.0
1.8000000000000003,10649.0
1.5,10592.0
1.7000000000000002,10760.0
1.8500000000000003,10056.0
1.6,11476.0
1.4,12393.0
2.0000000000000004,10325.0
1.8000000000000003,10170.0
1.6,11461.0
1.8000000000000003,11150.0
1.9500000000000004,10019.0
1.55,10655.0
1.45,11999.0
1.9000000000000004,10046.0
1.7500000000000002,11163.0
1.6,10532.0
1.7000000000000002,10138.0
1.9000000000000004,11371.0
1.45,11959.0
1.8000000000000003,10675.0
2.0000000000000004,10657.0
1.9000000000000004,10574.0
1.4,12381.0
1.7500000000000002,10480.0
1.8000000000000003,10081.0
1.6,10574.0
2.0000000000000004,10274.0
1.55,11323.0
1.6500000000000001,12506.0
1.5,10057.0
1.6,12313.0
1.7000000000000002,11744.0
2.0000000000000004,10595.0
1.9500000000000004,10223.0
1.5,10416.0
1.9500000000000004,10081.0
1.6,11948.0
1.7500000000000002,13817.0
1.55,10022.0
1.45,14626.0
1.7000000000000002,10591.0
1.8000000000000003,10016.0
1.55,11239.0
1.6500000000000001,11587.0
1.9000000000000004,11405.0
2.0000000000000004,10066.0
1.5,10304.0
1.8500000000000003,10662.0
1.6500000000000001,10835.0
1.6,10928.0
1.7000000000000002,10656.0
1.8000000000000003,10393.0
1.5,12676.0
1.5,10964.0
1.6500000000000001,10860.0
1.6,10002.0
1.9000000000000004,10139.0
1.5,11249.0
1.7500000000000002,11072.0
1.5,15475.0
1.9500000000000004,10139.0
1.9500000000000004,10359.0
2.0000000000000004,10007.0
1.7500000000000002,10018.0
1.7500000000000002,10860.0
1.4,10292.0
2.0000000000000004,10270.0
1.45,10302.0
1.7500000000000002,11117.0
1.9000000000000004,11119.0
1.6500000000000001,10028.0
1.7500000000000002,10049.0
1.6,12514.0
1.6,11509.0
1.7000000000000002,10391.0
1.6,10283.0
2.0000000000000004,10938.0
2.0000000000000004,10091.0
1.6,11653.0
1.7000000000000002,12253.0
1.7000000000000002,12819.0
1.8500000000000003,10480.0
1.4,11316.0
1.7000000000000002,10021.0
1.9500000000000004,11118.0
1.9000000000000004,10360.0
1.9500000000000004,10422.0
1.55,10815.0
1.9000000000000004,11992.0
1.4,13179.0
1.4,11736.0
1.6500000000000001,13540.0
1.7500000000000002,10830.0
1.6500000000000001,10004.0
1.7000000000000002,10005.0
1.6500000000000001,12181.0
1.5,14171.0
1.45,10563.0
1.6500000000000001,11020.0
1.9500000000000004,11266.0
1.55,14044.0
1.6500000000000001,18857.0
1.4,30743.0
1.8000000000000003,10060.0
1.7500000000000002,10128.0
1.4,10205.0
1.7500000000000002,11314.0
1.6500000000000001,10075.0
2.0000000000000004,10784.0
1.7500000000000002,12034.0
1.6,11756.0
1.5,10450.0
1.9500000000000004,10825.0
1.9000000000000004,10945.0
1.9500000000000004,10427.0
1.6,10650.0
1.9000000000000004,11336.0
1.6,13768.0
1.8500000000000003,11642.0
1.7500000000000002,10235.0
1.8000000000000003,12798.0
2.0000000000000004,10171.0
1.9500000000000004,10081.0
1.8000000000000003,11954.0
1.6500000000000001,10711.0
1.6,10141.0
1.8500000000000003,10784.0
2.0000000000000004,10828.0
1.45,12393.0
1.6500000000000001,11372.0
1.45,18814.0
1.5,10971.0
1.9000000000000004,10875.0
1.4,17542.0
2.0000000000000004,10125.0
1.45,15819.0
1.55,13137.0
1.7500000000000002,10660.0
1.7500000000000002,10305.0
1.8500000000000003,10014.0
1.5,14689.0
1.9000000000000004,10516.0
1.4,15950.0
1.8000000000000003,10278.0
1.9500000000000004,10372.0
1.45,10356.0
1.45,12941.0
1.6,10376.0
1.8000000000000003,10500.0
1.6,16122.0
1.9000000000000004,10164.0
1.7000000000000002,10648.0
1.7500000000000002,10936.0
1.6,13028.0
1.4,12773.0
1.6500000000000001,10950.0
1.45,12169.0
1.9500000000000004,11973.0
1.55,11230.0
1.9500000000000004,10196.0
1.4,19039.0
1.7500000000000002,10802.0
1.8500000000000003,10369.0
1.5,10718.0
1.6500000000000001,10509.0
1.9000000000000004,11534.0
1.7500000000000002,11138.0
1.8500000000000003,12018.0
1.7500000000000002,10241.0
1.7500000000000002,10283.0
1.9500000000000004,10830.0
1.9000000000000004,10193.0
1.8500000000000003,10256.0
1.6,10794.0
1.5,10466.0
1.8000000000000003,10915.0
1.4,10386.0
1.7000000000000002,10167.0
1.4,13676.0
1.7500000000000002,10117.0
1.9000000000000004,10356.0
1.8000000000000003,11616.0
1.6500000000000001,10124.0
1.55,15099.0
1.45,10144.0
1.7000000000000002,11124.0
1.7000000000000002,10897.0
1.6,10664.0
1.9500000000000004,10048.0
2.0000000000000004,11173.0
1.8000000000000003,10122.0
1.9000000000000004,10322.0
1.45,10796.0
1.8000000000000003,10313.0
1.8000000000000003,10116.0
1.9500000000000004,10020.0
1.6,10041.0
1.5,11767.0
1.7000000000000002,10750.0
2.0000000000000004,10703.0
1.8500000000000003,10728.0
1.45,15675.0
1.8500000000000003,11864.0
1.55,10234.0
1.8500000000000003,11647.0
1.8500000000000003,10174.0
1.7500000000000002,10225.0
1.9000000000000004,10627.0
1.6500000000000001,10850.0
1.4,10238.0
1.9000000000000004,10335.0
1.8500000000000003,10386.0
1.6,10322.0
1.7000000000000002,10035.0
1.7000000000000002,10199.0
1.9500000000000004,10804.0
1.5,13088.0
1.9500000000000004,10243.0
1.5,10184.0
2.0000000000000004,10700.0
1.6500000000000001,10940.0
1.8000000000000003,13378.0
1.6,16739.0
1.9000000000000004,10317.0
1.9500000000000004,10345.0
1.55,11607.0
1.9500000000000004,11283.0
1.6500000000000001,11457.0
1.4,13281.0
1.8000000000000003,10929.0
1.6,11359.0
1.5,10028.0
1.6500000000000001,10636.0
1.55,17723.0
1.8000000000000003,11540.0
1.5,15634.0
2.0000000000000004,11152.0
2.0000000000000004,10186.0
1.9000000000000004,10905.0
1.6500000000000001,12964.0
1.9000000000000004,10012.0
1.55,12778.0
1.8500000000000003,10699.0
1.55,12279.0
1.5,12605.0
1.8500000000000003,10222.0
1.6500000000000001,10450.0
1.7500000000000002,10339.0
1.6500000000000001,10752.0
1.6,11694.0
1.45,18950.0
